USER_ID,USER_NAME,EMAIL_ID,MOBILE,CUSTOMER_USER_AGENT,IS_SUBSCRIBED,PASSWORD,CITY
19617971,Faiyaz Sinha,sinhafaiyaz7@gmail.com,9317339753,Swiggy-iOS,,,Mumbai
26200320,Devansh Kaul,devanshkaul4435@gmail.com,9526476696,Swiggy-Android,,,Vadodara
33700768,Tara Mangat,tara13_mangat@gmail.com,9572733257,Swiggy-Android,,,Chennai
1498186,Shlok Gara,sbegara@gmail.com,8883282729,Swiggy-Android,,,Pune
50384286,Ishaan Sagar,ishaan44sagar@gmail.com,9252406152,Swiggy-Android,,,Bangalore
7659571,Yuvraj Dyal,hanishdamor@yahoo.com,8877999143,Swiggy-Android,,,Kolkata
17697193,Saanvi Hegde,saanvihegde1998@gmail.com,8521743735,Swiggy-Android,,,Gurgaon
23135256,Shaan Khatri,khatri20@gmail.com,9438251889,Swiggy-Android,,,Mathura
62425258,Manjari Srinivas,srinivasmanjari@gmail.com,7880564697,Swiggy-Android,,,Pune
26237288,Samarth Kalla,samarth2460@gmail.com,8503128887,Swiggy-Android,,,Noida
7186531,Aradhya Ravel,Aradhya2122@gmail.com,9445579209,Swiggy-Android,,,Pune
25778138,Aarush Biswas,bsmarty978@gmail.com,8001881373,Swiggy-Android,,,Vadodara
23377979,Hrishita Sachdev,numb.sachdev1998@gmail.com,9365856627,Swiggy-Android,,,Gurgaon
5892700,Hirdesh Aurora,hirdesh.aurora96@gmail.com,9184084432,Swiggy-Android,,,Chennai
11270778,Nehmat Dutt,nehmat70dutt@gmail.com,9768057651,Swiggy-Android,,,Ahmedabad
14444332,Jivin Rajan,rajan.jivin1992@gmail.com,8554085729,Swiggy-Android,,,Faridabad
35070571,Saanvi Kari,saanvikari199724@gmail.com,8527072238,Swiggy-Android,,,Bhopal
83069612,Jivika Saraf,sarafjiv1999@gmail.com,9609102113,Swiggy-Android,,,Sikar
8242745,Jayesh Kamdar,kamdarjayesh1998@gmail.com,9879977983,Swiggy-Android,,,Ahmedabad
68762417,Yashvi Sarin,yashvi227@gmail.com,7359283589,Swiggy-Android,,,Sikar
8271225,Indranil Ram,indranilram1996@gmail.com,8937373932,Swiggy-iOS,,,Chandigarh
37265800,Navya Yadav,yadavnavya81@gmail.com,9816985314,Swiggy-Android,,,Gandhidham
47166442,Nitya Upadhyay,nitya_upadhyay@gmail.com,8152963693,Swiggy-Android,,,Mathura
7719698,Hansh Sagar,hansh614sagar@gmail.com,9478562584,Swiggy-Android,,,Ahmedabad
8752531,Vaibhav Dhar,vaibhavdhar15@gmail.com,9637036772,Swiggy-Android,,,Ahmedabad
33280063,Hrishita Vasa,hrishita.vasa@gmail.com,8352431168,Swiggy-Android,,,Delhi
90407571,Azad Chand,chandsingh130@gmail.com,9930327853,Swiggy-Android,,,Agra
5441360,Jayan Ramakrishnan,ramakrishnan.jayan@gmail.com,7458729787,Swiggy-Android,,,Chennai
585709,Vivaan Thaker,vivaanthaker@gmail.com,8868497833,Swiggy-Android,,,Bangalore
33407142,Vritika Kata,vritika1996@gmail.com,8210646216,Swiggy-Android,,,Delhi
